en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
"He nods. “A little more than a week ago, her little brother, [MASK], turned fifteen. That night, he and three friends were out partying, and found themselves near the river. Emboldened by their youth and feeble-mindedness, they challenged each other to swim across it, touch the riverbank that belongs to Were territory, and then swim back. A show of bravery, if you will.”","""title"": ""The Host"", ""author"": ""Stephenie Meyer""","back. [MASK], you were challenged of brother, partying, and out to riverbank show three fifteen. week river. it, near little the That friends if A Emboldened than nods. He he touch by her and belongs a will.” each turned swim other ago, then across they themselves that swim their and more to youth found feeble-mindedness, Were bravery, night, little the and “A territory,","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"“Their succession of power is not particularly sophisticated. Weres are most closely related to dogs, after all. Suffice to say, [MASK] is dead.”","""title"": ""The Southern Vampire Mysteries series, possibly Dead Until Dark"", ""author"": ""Charlaine Harris""","Weres to particularly most are succession say, of closely dead.” to is related not after dogs, power Suffice is [MASK] “Their sophisticated. all.","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"“He is young, you see. Around your age and built of a different stock. As savage as [MASK], perhaps, but more open-minded. He believes that peace in the region is possible. That alliances among all three species should be cultivated.”","""title"": ""The Mortal Instruments: City of Bones"", ""author"": ""Cassandra Clare""","He but that is a see. built region be all and stock. in savage That possible. open-minded. more different the is you peace “He Around [MASK], As three age believes of young, among your should cultivated.” species perhaps, alliances as","""title"": ""Walden"", ""author"": ""Henry David Thoreau"""
"“The other children knew that I’d be the one sent to the Humans, and they started calling me fangless traitor as soon as they could form full sentences. Or have you forgotten when I was seven, and the sons and daughters of your fellow councilmen stole my clothes and pushed me out in the sun right before midday? And those same people spat on me and mocked me when I returned from ten years serving as their Collateral, so I’m not—” I exhale slowly, and remind myself that this is fine. I am fine. Untouchable. I’m twenty-five and I have my fake Human IDs, my apartment, my cat (fuck you, [MASK]), my . . . Okay, I probably don’t have a job right now, but I’ll find another soon, with 100 percent fewer Pierces. I have friends—a friend. Probably.","""title"": ""A Court of Thorns and Roses is unlikely, but possibly 'House of Earth and Blood' or more likely 'From Blood and Ash' is not correct, but possibly 'A Touch of Darkness' is not correct, but possibly 'From Blood and Ash' is not correct, but possibly 'A Court of Miracles' is not correct, but possibly 'House of Sky and Breath' is not correct, but possibly 'A Court of Miracles' is not correct","me when and started ten to out people And when apartment, spat find me they Untouchable. sons my fine. friends—a be I friend. I have I fewer one have so twenty-five myself I’d soon, the and Probably. this and Pierces. my fangless me now, I percent returned midday? mocked Collateral, right . remind sentences. that calling “The job form but I a knew traitor fellow other could and as right don’t Human forgotten Or those I’ll of was clothes your . in I’m . you, they have with my I’m IDs, full years pushed the stole (fuck before exhale slowly, that me Okay, daughters my sun fine. their and Humans, the the serving you and children 100 my and as I probably another am from cat not—” is sent same [MASK]), have councilmen I seven, soon on as fake","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"“They see a wedding between a [MASK] and an Alpha that was supposed to broker peace, but ended in death. The Weres are animals, and always will be, but we are on the road to extinction, and the good of the most must be considered. If we let the Humans and Weres form an alliance that excludes us, they could completely wipe us out—”","""title"": ""Dead and Gone"", ""author"": ""Charlaine Harris""","could us and broker and will good to that and an the out—” of completely but peace, but an always and “They supposed are death. the wipe Alpha was animals, Weres we a wedding ended the to most must excludes Humans The form we Weres see extinction, on between road us, If [MASK] in are considered. a that the be, they alliance let be","""title"": ""Shiver"", ""author"": ""Maggie Stiefvater"""
"I only ever laughed out loud with [MASK], which means that it must have been well over a month since I last did it. My brain nearly hiccups, startled at these newfangled, mysterious sounds my voice box is producing. “Did you drink rotten blood? Because you’re unhinged.”","""title"": ""Me Before You"", ""author"": ""Jojo Moyes""","brain ever nearly sounds well My these producing. means over [MASK], hiccups, unhinged.” box mysterious is that which a last loud must at you I month been drink it “Did did since voice only blood? have you’re with out startled it. newfangled, I laughed rotten Because my","""title"": ""The Tell-Tale Heart"", ""author"": ""Edgar Allan Poe"""
"“[MASK] cannot.” I shoot to my feet and begin pacing away from him, massaging my temple. “Why are you asking me? I cannot be your first choice.”","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""","your “Why me? my to first and you asking away be him, pacing cannot shoot feet choice.” my massaging I cannot.” I are temple. begin from “[MASK]","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“You aren’t,” he says flatly. He has plenty of faults, but lack of honesty was never among them. “Nor our second. The council is in agreement that we must act, and several members have offered their relatives. Originally, Councilman [MASK]’s daughter agreed. But she had a change of heart—”","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","them. He act, heart—” agreed. our in he that we is has but honesty offered agreement relatives. plenty says council The daughter several [MASK]’s of a change “You among had have never and Originally, of But their was Councilman must members of flatly. faults, she second. “Nor lack aren’t,”","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
"And yet, here I am. With Governor [MASK]. Leaning on my elbows over the balcony that overlooks the courtyard where I just got married. Biting back a sigh before explaining:","""title"": ""The Selection"", ""author"": ""Kiera Cass""","sigh on I married. [MASK]. the here where back a am. I explaining: With yet, balcony overlooks before elbows Leaning And just Governor courtyard that Biting the my over got","""title"": ""The Scarlet Letter"", ""author"": ""Nathaniel Hawthorne"""
"Gauging intoxication levels in Humans is always a struggle, but I’m fairly sure the governor is not not drunk. “You asked who gave me my name. It was the [MASK] council.”","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","in not the sure not me “You name. It my gave but who [MASK] asked struggle, I’m intoxication always Humans governor is Gauging drunk. a fairly the council.” was levels is","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
"[MASK] was like that, too, when I first met her. “So crucifixes burn you?” she asked me a couple of weeks into our cohabitation, after I failed to convince her that the viscous red liquid I kept in my fridge was tomato juice.","""title"": ""Let the Right One In"", ""author"": ""John Ajvide Lindqvist""","when her. into [MASK] in fridge I juice. our was first couple me tomato cohabitation, to she you?” met was my crucifixes red failed I that, burn that the a convince I like too, asked after “So kept weeks her liquid of viscous","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"“Shit,” I mutter softly, rubbing the bridge of my nose. Was [MASK] married before? If that’s the case, I cannot comprehend how pissed he must be at the prospect of being shackled to me while his wife is far away, first in line to the slaughter. Maybe that’s why he flipped earlier?","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""","[MASK] pissed wife must case, at while nose. away, is shackled prospect Was that’s married rubbing the the how earlier? to slaughter. far that’s “Shit,” being softly, cannot he first his line my comprehend of he of Maybe before? bridge to mutter flipped be I the me I in If the why","""title"": ""Infinite Jest"", ""author"": ""David Foster Wallace"""
"[MASK] presses his lips together. His jaw clenches and he says something, but his voice is deeper, lower than his companions’. I cannot make out the words over the background noises.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","voice he his presses the [MASK] together. but his I deeper, lower something, says and out companions’. noises. lips cannot is jaw clenches His words than make over background his the","""title"": ""The Shining"", ""author"": ""Stephen King"""
"A short distance away, two children are bawling. They are toddlers, one with dark skin and lilac eyes, the other pale and blue-eyed. A [MASK] and a Were. Between them lies a dark blue superhero action figure, broken in two at the waist. And next to them, clutching their respective sons, are a [MASK] father and a Were mother. Who, for reasons I cannot divine, thought that bringing children here would be a good idea, and now are showing their fangs at each other. Growling. Drawing the attention of the other guests, who start to gather around them protectively. Or maybe aggressively.","""title"": ""The All Souls Trilogy: A Discovery of Witches is not a match, but the description of a Were and a [MASK] suggests a supernatural theme, possibly a match for the All Souls Trilogy's follow-up series, the World of All Souls companion series, or another book in the same genre. The most likely match is: The All Souls Trilogy companion series: Time's Convert or The World of All Souls: The Complete Guide to A Discovery of Witches, Shadow","them one away, here bawling. and each mother. [MASK] action them at who for at to would blue-eyed. around toddlers, children them, pale a the sons, attention their I protectively. Who, the and a Were. two thought reasons gather clutching and with aggressively. and eyes, maybe a lies broken father dark start other bringing Growling. showing be divine, their They to are figure, waist. other. blue good respective are of guests, are a idea, cannot other next a Between short and Were are A that now Drawing And fangs in superhero two the A distance skin lilac Or [MASK] children dark the","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
"“It’s all good,” [MASK] says. Calm. Reassuring. Not to the father, but to the child. As he holds out the intact action figure—not broken, after all.","""title"": ""The Corrections"", ""author"": ""Jonathan Franzen""","but action after Calm. child. good,” all says. As he father, to broken, holds “It’s figure—not out the Not Reassuring. all. [MASK] to intact the the","""title"": ""The Road"", ""author"": ""Cormac McCarthy"""
"“Anything you’d like to say?” [MASK] asks, this time to the Were child. The boy blinks several times before looking at the ground with a pout.","""title"": ""The Mortal Instruments: City of Bones"", ""author"": ""Cassandra Clare""","asks, time you’d child. The [MASK] to times boy say?” looking with this Were pout. to blinks before the like the “Anything ground at several a","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
"“Make sure it doesn’t happen again. Tell the others, too,” he quietly orders the ginger and the older Were, who nod and leave to mix with the guests. [MASK] sighs, and I wait for a handful of seconds, hoping he’ll join them and clear my way.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","ginger for them doesn’t “Make Were, way. and others, happen he’ll who mix handful the quietly nod guests. [MASK] older I and it orders and and the my with again. clear seconds, Tell hoping wait the to sighs, of too,” sure leave join a the he","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“I know you’re there,” he says, not looking at anyone in particular. I have no idea who he’s addressing until he adds, “Come down, Miss [MASK].”","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","anyone at you’re “I Miss looking particular. down, says, [MASK].” in who “Come he know not until I adds, no have addressing he’s idea he there,”","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
"No, we Vampyres don’t pulverize in the sun like glitter bombs. Sunlight burns us and it hurts, but it won’t kill us unless the exposure is unfiltered and prolonged. However, we are pretty useless in the middle of the day, even inside. Lethargic and weak and crawly and headachy, especially during late spring and summer, when the rays hit at that pesky steep angle. “This crepuscularity of yours is really cramping my brunch lifestyle,” [MASK] used to say. “Also, the fact that you don’t eat.”","""title"": ""Let the Right One In"", ""author"": ""John Ajvide Lindqvist""","lifestyle,” crawly useless brunch the when No, burns angle. of and the late weak unless exposure say. and and pretty at pulverize the of “Also, are cramping unfiltered However, like and day, it inside. used the [MASK] pesky Vampyres won’t headachy, sun glitter steep us us and really crepuscularity don’t summer, is middle we we it and especially is the don’t even prolonged. eat.” hit in spring to Lethargic yours the rays “This kill fact hurts, bombs. that Sunlight during in that my you but","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"[MASK] sighs, and rolls her eyes, and pouts like she was asked to file a tax return, but eventually she does leave, sneaking me an impish smile. My sleep-addled brain briefly considers returning it, then recalls that I let my fangs regrow.","""title"": ""Dead and Loving It"", ""author"": ""Charlaine Harris""","sleep-addled was she asked eyes, like it, rolls brain that tax regrow. my and me a returning I does fangs considers return, file leave, impish then and briefly an let her she My recalls pouts eventually sneaking sighs, [MASK] to smile. but","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
"“It will be different here.” Her eyes move from mine and trace the contours of the room, still a mess of moving boxes and piles of clothes. Her gaze hiccups on the bare mattress, now stripped of the sheets and blankets that I dragged inside the closet, then stops on the only thing I put up on the wall: a Polaroid of me and [MASK] looking away from the camera during that sunset lake tour we did two years ago. Some guy took it without asking, while we were dangling our feet in the water. Then he showed it to us and said he’d only return it if one of us gave him our number. We did the only logical thing: caught him in a headlock and forcibly took the photo.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","we only the return the stripped us will the dangling we in a from the showed our ago. the hiccups mess one I him said me and logical thing clothes. trace of “It wall: room, of number. us the bare inside he’d a did guy stops took away that thing: Her did asking, it and then the caught be now We a different dragged closet, during on water. still looking without and it of lake only feet mattress, tour of eyes it moving Then contours gave of sunset to Some and he our from headlock camera years that in of were Polaroid mine on gaze forcibly and him if while two the up the [MASK] the piles on put Her and move here.” took blankets photo. I the only sheets boxes","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"No shit. “And I don’t know you enough to make a judgment. Your jeans are cool, though.” Riveting conversation, but I’m about to pass out. Thankfully, with one last withering look, [MASK] leaves.","""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell""","know conversation, to leaves. to last “And look, No Riveting Your withering make about I pass shit. judgment. with I’m jeans one though.” a [MASK] but enough Thankfully, cool, don’t out. you are","""title"": ""Looking for Alaska"", ""author"": ""John Green"""
"The corner of my eye catches a hint of movement. I turn, half expecting [MASK] to make a comeback, but it’s just Serena’s goddamned fucking cat, stretching his way out from under the bed.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""","make a out expecting bed. of from [MASK] cat, turn, eye I movement. to his of under but the fucking corner way stretching goddamned Serena’s my comeback, a it’s hint half just The catches","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"Growing up collecting attempted murders like milk teeth tempered me and taught me to be calm under pressure. And yet I still remember it, that first churning twist in my stomach when [MASK] didn’t turn up to my place for laundry night. Didn’t reply to my texts. Didn’t pick up the phone. Didn’t call in sick to work, and simply stopped showing up. It felt a lot like fear.","""title"": ""The Last Time I Lied"", ""author"": ""Riley Sager""","my turn showing like my up texts. pressure. to twist still taught to a for first work, simply night. under when [MASK] milk the reply that be teeth up laundry collecting didn’t up attempted Didn’t churning to stopped call place me my and it, pick fear. up. yet felt And stomach sick Growing in calm Didn’t lot remember like tempered and me in It Didn’t to I murders phone.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
"“A few days? She still wouldn’t let the little asshole starve,” I hurried to add, but the officer had already dropped his pen. And even though I went back to the station three times that week, and eventually managed to get a missing person report filed, no one did anything to find [MASK]. The hazard, I guess, of being alone in the world: no one to care that she was safe, and healthy, and alive. No one but me, and I didn’t count. I shouldn’t have been surprised, and I wasn’t. But apparently I still had the capacity to feel hurt.","""title"": ""The Girls"", ""author"": ""Emma Cline""","a back “A still shouldn’t and three guess, capacity count. But I I to but alive. had to anything station feel missing in I starve,” I one let hurt. and and to the eventually was went have week, did she officer the And surprised, I pen. find report care me, to person been wouldn’t filed, safe, his that I days? the no one alone hurried hazard, add, She wasn’t. and already to times apparently that world: of the one healthy, [MASK]. little to had even no I but being still few No the though get managed and dropped The asshole didn’t","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"Because no one cared whether I was safe, or healthy, or alive. No one but [MASK]. The sister of my heart, if not of my blood. And even though I’d been plenty alone, I’d never felt so lonely as after she was gone.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","my of as not felt was though The if no heart, blood. alive. but I’d or whether gone. No even been Because cared so never my safe, one was of I alone, And plenty [MASK]. I’d she after one healthy, or lonely sister","""title"": ""Jane Eyre"", ""author"": ""Charlotte Brontë"""
"I had the keys, after all. Because the key to everything is but a line of code. I was able to rifle through her bank statements, IP addresses, cell phone locations. Herald emails, metadata, app usage. [MASK] was a journalist, one who wrote about delicate financial stuff, and the most likely option was that she’d gotten embroiled in something fishy while working on a story, but I wasn’t going to exclude other possibilities. So I went through everything, and found . . . nothing.","""title"": ""The Circle"", ""author"": ""Dave Eggers""","in financial all. was delicate was stuff, . everything, a metadata, bank Because app and IP that a wrote option rifle . keys, likely nothing. I she’d key cell addresses, through working her the I going the is about had other journalist, Herald phone fishy something story, everything code. exclude . emails, after [MASK] possibilities. through wasn’t one but and So I to while gotten usage. to the on statements, embroiled line most locations. I who went able a of found was to but","""title"": ""No Way to Go: In Ten Years, Everything Will Be Over for Humankind. Here Is the Only Solution"", ""author"": ""Paul Ehrlich"""
"And that’s when I did it: I kneeled in front of [MASK]’s damn fucking cat. He was playing like he always did after dinner, pawing at a crumpled receipt in a corner of the living room, but managed to squeeze a couple of hisses into his busy schedule just for me. “Listen.” I swallowed. Rubbed my hand on my chest and then even slapped it, trying to dull the ache. “I know you only knew her for a few days, but I really, really . . .” I scrunched my eyes shut. Oh fuck, this was hard. “I don’t know how it happened, but I think that [MASK] might be . . .”","""title"": ""A Little Life"", ""author"": ""Hanya Yanagihara""",". for schedule .” of this to scrunched . kneeled I damn Rubbed eyes “I my at a but “I few don’t of I but her when was I after his think it, couple hand you a only I on like happened, and be fuck, then really, shut. slapped a . that’s chest know swallowed. cat. even the ache. did it: me. for my might days, dull corner dinner, squeeze to he fucking trying was . receipt know a but the [MASK] in did it I really that I pawing managed into how hisses busy crumpled my .” living He room, “Listen.” Oh [MASK]’s always just playing in of hard. And knew front","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney"""
"The receipt, which wasn’t a balled-up receipt at all. It was a piece of paper torn from a journal, or perhaps a notebook, or—no. A planner. [MASK]’s incredibly outdated planner.","""title"": ""Where'd You Go, Bernadette"", ""author"": ""Maria Semple""","a which of [MASK]’s a notebook, from receipt all. a paper at journal, planner. The wasn’t A It piece was a torn planner. outdated balled-up perhaps incredibly receipt, or—no. or","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"Or maybe not quite. A distant bell rang, reminding me of a game [MASK] and I used to play as kids, a primitive substitution cipher we made up to gossip freely in front of our caregivers. We’d named it the butterfly alphabet, and it mostly consisted of adding b- and f- syllables to normal words. Nothing complicated: even rusty as I was, it took my brain only a few seconds to untangle it. And once I was done, I had something. I had three whole words:","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","only had play my named butterfly and reminding done, we untangle I something. consisted seconds I was And kids, I adding of We’d words. a quite. distant to words: rang, brain Or it freely used as a I complicated: a was, me A cipher syllables had even maybe took bell of and primitive few in normal front it gossip game to once made it. f- to our b- rusty whole three Nothing caregivers. as [MASK] I to alphabet, not it substitution and the mostly of up","""title"": ""The Goldfinch"", ""author"": ""Donna Tartt"""
"I didn’t scream, or cry, or attack that old hag. I was paralyzed, unable to function properly for the rest of the night, and only started processing what had happened when I got home and told [MASK], who was furious on my behalf and demanded a promise from the caregiver on shift: that I would never be forced to attend a similar function again.","""title"": ""The Glass Castle"", ""author"": ""Jeannette Walls""","shift: from [MASK], similar the behalf old the was when that unable that to attend furious demanded paralyzed, function and got to caregiver happened scream, was told didn’t would night, who forced started the processing had I a properly never or cry, on function and I home attack promise I be of or a again. what only and I rest on my for hag.","""title"": ""Prozac Nation"", ""author"": ""Elizabeth Wurtzel"""
"“Yes, thank you.” He nearly slumps in relief. “And, um, there are no blood banks that cater to [MASK] in the area, because, well—”","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","“And, [MASK] nearly the area, to um, slumps well—” there thank in in are cater blood no banks that because, you.” relief. “Yes, He","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"“Are you one of his seconds?” I ask [MASK], turning away from the waves lapping at the pier. “More— Lowe’s, I mean.”","""title"": ""The Sea-Wolf"", ""author"": ""Jack London""","I [MASK], of “Are “More— the seconds?” waves away ask one from the I Lowe’s, mean.” pier. at turning you his lapping","""title"": ""The Old Man and the Sea"", ""author"": ""Ernest Hemingway"""
"[MASK] mulls it. “Yes and no. There are some instincts that take over in that form, more than they otherwise would. The impulse to hunt, for instance, is very powerful. To chase a scent, track down an enemy. That’s why you maybe shouldn’t venture out alone to . . .”","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","no. to maybe than is an would. and The To down take a [MASK] in chase why more .” instance, powerful. otherwise alone are scent, some venture you over very “Yes track it. to form, There instincts . . That’s mulls impulse for they hunt, that out shouldn’t enemy. that","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins"""
[MASK] lets out a startled laugh. “He is the most powerful Were I’ve ever seen. And that my grandfather has ever seen—and he’s seen many Alphas.”,"""title"": ""Shiver"", ""author"": ""Maggie Stiefvater""",Were my seen seen. “He powerful I’ve startled Alphas.” he’s out most lets that ever a the many And is grandfather seen—and has laugh. [MASK] ever,"""title"": ""The Darkest Minds"", ""author"": ""Alexandra Bracken"""
"[MASK]’s face flashes through my head. She’s rolling her eyes because I’m wearing a galaxy T-shirt I got for free when I bought a lava lamp. Who wears this, Misery? No—who buys a lava lamp?","""title"": ""Misery"", ""author"": ""Stephen King""","her a when lamp? T-shirt wearing I’m rolling because this, buys Misery? No—who a got through eyes lamp. lava face galaxy lava Who She’s free I head. bought flashes [MASK]’s wears a I for my","""title"": ""Misery"", ""author"": ""Stephen King"""
"“Except, now I live here.” I play with my silver wedding band—a habit I’ve picked up in less than twenty-four hours. I’ve never been much for jewelry, but maybe I’ll keep it when I find [MASK] and this is over. Or buy one of those mood rings that think Vampyres are always sad because our body temperature is low. “Why?”","""title"": ""Dead Until Dark"", ""author"": ""Charlaine Harris""","[MASK] low. those less now maybe “Why?” always when in I’ll find twenty-four one temperature band—a I I’ve I play “Except, silver mood is live hours. with think sad rings keep that never for than over. our it I body jewelry, up Vampyres is wedding been much and are but this of Or because I’ve picked here.” buy habit my","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
"The first time I searched [MASK] for [MASK]. E. [MASK], I found two things: a semi-defunct GeoCities website promoting a [MASK] defunct [MASK] estate agent, and the infinite vastness of nothing.","""title"": ""The Circle"", ""author"": ""Dave Eggers""","[MASK] vastness GeoCities a I promoting [MASK] E. website things: infinite [MASK]. The a first the searched time and [MASK], estate nothing. agent, semi-defunct for I [MASK] found defunct two of","""title"": ""You Are Not a Gadget"", ""author"": ""Jaron Lanier"""
