Single_ent,en_masked_shuffled_results,es_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,en_correct,es_correct,tr_correct,vi_correct
['basil'],emma,shakespeare,altı,nguyễn,0,0.22,0,0.25,0,0.44,0,0.0,incorrect,incorrect,incorrect,incorrect
['sibyl'],shakespeare,shakespeare,hamlet,nguyễn,0,0.12,0,0.12,0,0.18,0,0.18,incorrect,incorrect,incorrect,incorrect
['sibyl'],darcy,shakespeare,mr.,ngọc,0,0.2,0,0.12,0,0.0,0,0.0,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry', 'lord henry—']",emma,estados,john,ngọc,0,0.22,0,0.18,0,0.44,0,0.25,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",harry,god,thomas,ngọc,0,0.6,0,0.57,0,0.2,0,0.25,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",sebastian,maría,psyche,cupid,0,0.29,0,0.22,0,0.36,0,0.22,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",emma,shakespeare,hamlet,nguyễn,0,0.22,0,0.38,0,0.36,0,0.36,incorrect,incorrect,incorrect,incorrect
['harry'],elizabeth,shakespeare,sen,nguyễn,0,0.14,0,0.38,0,0.0,0,0.18,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",shakespeare,shakespeare,hamlet,chúng,0,0.38,0,0.38,0,0.36,0,0.4,incorrect,incorrect,incorrect,incorrect
['dorian'],heathcliff,hammett,hamdi,nguyễn,0,0.12,0,0.15,0,0.36,0,0.17,incorrect,incorrect,incorrect,incorrect
"['dorian', 'dorian gray']",frankenstein,¿quién,adı,triển,0,0.33,0,0.33,0,0.44,0,0.55,incorrect,incorrect,incorrect,incorrect
"['george petit4', 'george petit', 'georges petit']",monet,seurat,chagall,albert,0,0.4,0,0.36,0,0.15,0,0.36,incorrect,incorrect,incorrect,incorrect
['hallward'],elizabeth,maría,john,nguyễn,0,0.24,0,0.31,0,0.17,0,0.0,incorrect,incorrect,incorrect,incorrect
['dorian'],dorian,edipo,michelangelo,leonardo,1,1.0,0,0.36,0,0.33,0,0.29,correct,incorrect,incorrect,incorrect
"['hubbard', 'mr hubbard']",god,don,michelangelo,nguyễn,0,0.2,0,0.2,0,0.27,0,0.15,incorrect,incorrect,incorrect,incorrect
"['hubbard', 'hubbar', 'mr hubbard']",elizabeth,don,bay,nguyễn,0,0.13,0,0.2,0,0.44,0,0.17,incorrect,incorrect,incorrect,incorrect
['dorian'],god,maría,harry,nguyễn,0,0.22,0,0.55,0,0.18,0,0.17,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",epicurus,epicuro,epicurus,đức,0,0.31,0,0.33,0,0.31,0,0.29,incorrect,incorrect,incorrect,incorrect
"['dorian', 'dorian gray']",darcy,valmont,delikanlı,nguyễn,0,0.5,0,0.31,0,0.53,0,0.4,incorrect,incorrect,incorrect,incorrect
"['dorian', 'dorian gray']",byron,shakespeare,adem,nguyễn,0,0.36,0,0.18,0,0.25,0,0.4,incorrect,incorrect,incorrect,incorrect
['dorian'],heathcliff,marx,özgür,ngọc,0,0.12,0,0.2,0,0.36,0,0.2,incorrect,incorrect,incorrect,incorrect
"['dorian', 'doria']",god,shakespeare,michelangelo,chúa,0,0.25,0,0.12,0,0.33,0,0.22,incorrect,incorrect,incorrect,incorrect
"['dorian', 'doria']",elizabeth,carlos,yanıt,ngọc,0,0.29,0,0.18,0,0.36,0,0.22,incorrect,incorrect,incorrect,incorrect
['dorian gray'],god,beatriz,çiçek,ngọc,0,0.29,0,0.31,0,0.18,0,0.27,incorrect,incorrect,incorrect,incorrect
['dorian'],stephen,gregor,çocuk,harry,0,0.15,0,0.33,0,0.18,0,0.18,incorrect,incorrect,incorrect,incorrect
['dorian gray'],heathcliff,godot,dorian,harry,0,0.14,0,0.36,1,1.0,0,0.44,incorrect,incorrect,correct,incorrect
"['henry wotton', 'lord henry wotton', 'henry wotto']",god,freud,freud,ngọc,0,0.57,0,0.44,0,0.44,0,0.27,incorrect,incorrect,incorrect,incorrect
"['dorian', 'doria']",macbeth,dios,ben,chúa,0,0.17,0,0.44,0,0.22,0,0.22,incorrect,incorrect,incorrect,incorrect
"['campbell', 'y run']",scrooge,marx,newton,đông,0,0.27,0,0.29,0,0.22,0,0.29,incorrect,incorrect,incorrect,incorrect
"['dorian', 'dorian gray']",dorian,velázquez,rembrandt,nguyễn,1,1.0,0,0.15,0,0.4,0,0.4,correct,incorrect,incorrect,incorrect
['campbell'],holden,maría,genç,nguyễn,0,0.14,0,0.15,0,0.17,0,0.14,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",god,marx,hitler,nguyễn,0,0.57,0,0.25,0,0.55,0,0.36,incorrect,incorrect,incorrect,incorrect
"['madam ferrol', 'ferroll', 'ferrol', 'madame de ferrol']",elizabeth,maría,paris,đức,0,0.27,0,0.6,0,0.24,0,0.4,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",charlotte,shakespeare,özdemir,nguyễn,0,0.32,0,0.38,0,0.47,0,0.36,incorrect,incorrect,incorrect,incorrect
"['ruxton', 'leydi ruxton', 'lady ruxton']",marlboro,maría,bay,ngàn,0,0.32,0,0.25,0,0.57,0,0.27,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry', 'lord henry—']",valmont,shakespeare,shakespeare,nguyễn,0,0.36,0,0.38,0,0.38,0,0.36,incorrect,incorrect,incorrect,incorrect
"['dorian', 'doria']",emma,carlos,öf,nhân,0,0.22,0,0.18,0,0.29,0,0.4,incorrect,incorrect,incorrect,incorrect
"['dorian', 'dorian gray']",dorian,shakespeare,shakespeare,nguyễn,1,1.0,0,0.18,0,0.18,0,0.4,correct,incorrect,incorrect,incorrect
['dorian'],marlowe,marlowe,thomas,nguyễn,0,0.15,0,0.15,0,0.33,0,0.17,incorrect,incorrect,incorrect,incorrect
['dorian'],lucifer,lucifer,şeytan,nguyễn,0,0.15,0,0.15,0,0.33,0,0.17,incorrect,incorrect,incorrect,incorrect
['dorian gray'],lucifer,lucifer,attila,chai,0,0.22,0,0.22,0,0.33,0,0.25,incorrect,incorrect,incorrect,incorrect
['dorian gray'],macduff,alguien,adam,nguyễn,0,0.18,0,0.31,0,0.4,0,0.4,incorrect,incorrect,incorrect,incorrect
['james vane'],dorian,maría,emily,đông,0,0.4,0,0.27,0,0.22,0,0.25,incorrect,incorrect,incorrect,incorrect
['dorian'],heathcliff,montaigne,çınar,đông,0,0.12,0,0.4,0,0.36,0,0.6,incorrect,incorrect,incorrect,incorrect
"['sir geoffrey—', 'geoffrey', 'sir geoffrey']",donkey,quijote,john,nguyễn,0,0.43,0,0.32,0,0.17,0,0.29,incorrect,incorrect,incorrect,incorrect
['dorian'],destiny,shakespeare,özdemir,nguyễn,0,0.46,0,0.12,0,0.31,0,0.17,incorrect,incorrect,incorrect,incorrect
['harry'],frankenstein,dios,ölüm,đức,0,0.12,0,0.0,0,0.0,0,0.0,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",elizabeth,maría,ne,ngọc,0,0.21,0,0.22,0,0.29,0,0.25,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry', 'lord henry—', 'henry cười']",shakespeare,shakespeare,atatürk,nguyễn,0,0.38,0,0.38,0,0.18,0,0.36,incorrect,incorrect,incorrect,incorrect
['dorian'],frankenstein,¿dónde,john,nguyễn,0,0.33,0,0.5,0,0.4,0,0.17,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",god,shakespeare,ali,ngọc,0,0.57,0,0.38,0,0.29,0,0.25,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",emerson,platón,platon,nguyễn,0,0.33,0,0.4,0,0.4,0,0.36,incorrect,incorrect,incorrect,incorrect
"['dorian', 'doria']",porfiry,shakespeare,dostoyevski,nguyễn,0,0.5,0,0.12,0,0.38,0,0.17,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",christ,marble,piccadilly,nguyễn,0,0.36,0,0.25,0,0.2,0,0.36,incorrect,incorrect,incorrect,incorrect
