Single_ent,en_masked_shuffled_results,es_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,en_correct,es_correct,tr_correct,vi_correct
"['henry', 'henr']",victor,frankenstein,frankenstein,frankenstein,0,0.2,0,0.25,0,0.25,0,0.25,incorrect,incorrect,incorrect,incorrect
['elizabeth'],frankenstein,fausto,azrail,hỡi,0,0.29,0,0.27,0,0.27,0,0.17,incorrect,incorrect,incorrect,incorrect
"['elizabeth', 'eliz']",victor,padre,frankenstein,romeo,0,0.27,0,0.29,0,0.29,0,0.22,incorrect,incorrect,incorrect,incorrect
['elizabeth'],elizabeth,kafka,ahmet,tuyết,1,1.0,0,0.14,0,0.43,0,0.29,correct,incorrect,incorrect,incorrect
['elizabeth'],frankenstein,frankenstein,frankenstein,ác,0,0.29,0,0.29,0,0.29,0,0.18,incorrect,incorrect,incorrect,incorrect
"['margaret', 'margare']",frankenstein,victor,frankenstein,đôi,0,0.4,0,0.15,0,0.4,0,0.0,incorrect,incorrect,incorrect,incorrect
"['margaret', 'margare']",elizabeth,juan,tanrı,trời,0,0.35,0,0.18,0,0.33,0,0.18,incorrect,incorrect,incorrect,incorrect
['frankenstein'],frankenstein,frankenstein,i̇ngiltere,thủy,1,1.0,1,1.0,0,0.29,0,0.12,correct,correct,incorrect,incorrect
['frankenstein'],dorian,hamlet,faust,giả,0,0.33,0,0.33,0,0.47,0,0.13,incorrect,incorrect,incorrect,incorrect
['clerval'],frankenstein,dante,frankenstein,tim,0,0.21,0,0.17,0,0.21,0,0.0,incorrect,incorrect,incorrect,incorrect
