Single_ent,en,en_results,en_shuffled,en_shuffled_results
['jake'],"“I definitely need to go back to the beginning,” I say, wiping my eyes. I mime an explosion at my temples. “Like—my mind is blown right now. You dressed like a middle schooler around the house. All basketball shorts, all the time. You drove a Honda! West, you’re incognito rich! No wonder [MASK] never told me anything about his family! I would have made him pay for Jersey Mike’s every fucking time! Wait. Why did you need to live on campus? If you’re the grandson of the founder of Weston’s, you could probably buy an entire apartment building on Sunset.”","""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid""","“Like—my his pay to an back the have around right building “I grandson like [MASK] wiping about I the probably shorts, never Jersey Honda! No mime could need schooler temples. wonder middle on go basketball founder entire explosion told my to fucking You buy my house. blown is drove All me anything You I beginning,” apartment eyes. West, mind Sunset.” you’re Wait. Weston’s, If you’re incognito at of every of an made to you I definitely dressed for the family! on time. would you need did the now. Mike’s live him say, all a a the time! Why campus? rich!","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz"""
['conan'],"That lands in a puddle of silence, and it hits me after a couple of seconds filled only with the sound of [MASK] kicking someone’s ass on TV that West expects me to catch his meaning.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz""","catch of TV to on only silence, [MASK] in filled hits of and lands a expects with ass someone’s that kicking after the couple West me his That a meaning. sound me puddle it seconds of","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['jake'],"“Correct.” He looks down to his lap. “Only [MASK] knew the real situation. The rest of my family was disappointed that I didn’t let them throw me a big wedding, but I guess they weren’t all that surprised. I’ve always been private.”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","throw [MASK] big I me let looks knew that “Only my surprised. I’ve I guess the but they family down to his private.” a always been didn’t was situation. wedding, “Correct.” real of lap. He all disappointed The rest that weren’t them","""title"": ""Harry Potter and the Half-Blood Prince"", ""author"": ""J.K. Rowling"""
['anna'],"He looks me over again, top to bottom, and the defeat in his eyes makes me realize the true extent of my unshowered, feral chaos. “Actually, [MASK],” he says, “I need you to come with me to my sister’s wedding in Indonesia and convincingly play the part of my very loving wife.”","""title"": ""The Wedding Date"", ""author"": ""Jasmine Guillory""","makes me and you looks me “Actually, He my eyes wife.” Indonesia defeat convincingly his realize me bottom, he to to my and in chaos. extent with of says, “I the sister’s over need in feral the unshowered, loving top to very again, [MASK],” my the of play come part wedding true","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz"""
['anna'],"It’s surreal to be here with her after all this time. I was so close to being done with this, so near to the finish line, yet here I am, having to improvise an intricate plan B at the eleventh hour with a Muppet in human form as my co-conspirator. Don’t get me wrong, beneath the baked, unshowered disarray, [MASK] is still a beautiful woman, with enormous brown eyes, creamy skin, and long, willowy limbs. I’d always been fascinated with the perfect beauty mark just above her lip. Unfortunately, right now she looks like she’s fallen out of a tree and crawled through a field of tangly briers to get back to her apartment. This is probably the closest I’ve ever seen to her natural hair color because the pink has grown out a good inch, leaving a stripe of brown at her roots. Her makeup is, I presume, from yesterday; shadows of mascara carve dark circles beneath her eyes. Despite the old makeup and frazzled appearance, there’s still something striking about her. Her eyes are enormous and bright, framed with dark lashes, her steady gaze entirely without artifice.","""title"": ""Maybe in Another Life"", ""author"": ""Taylor Jenkins Reid""","being and circles hair out lashes, time. shadows been I’d closest form this, makeup of am, here to is, apartment. to yesterday; eyes. makeup her beneath skin, briers gaze with with Her I the was This natural all ever to co-conspirator. artifice. is with beneath yet bright, something human entirely a Muppet [MASK] B get the still old woman, is willowy tangly at fallen this like surreal having through here her a tree a and with intricate about the as to wrong, so the her framed hour so above steady are limbs. appearance, back done enormous roots. the the a still presume, without and a dark right probably dark finish carve perfect Unfortunately, a her to seen eleventh eyes there’s lip. because I’ve pink be striking improvise unshowered looks plan she leaving fascinated mascara close enormous inch, from out of baked, of to an always in line, frazzled beauty beautiful of the her and her get grown Don’t crawled she’s stripe after color brown now with brown at her Despite her. creamy field to It’s near has I me mark I my good just disarray, long, eyes, Her with","""title"": ""The Raw Shark Texts"", ""author"": ""Steven Hall"""
['anna'],"Though I am nearly certain her mind has wandered to something other than the topic at hand, I let her stare at the wall a little longer so I can stare at her and reconcile this version of [MASK] with the one I lived with for two years.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","I reconcile topic at has with two so can her let the years. her than nearly I the I hand, stare at of mind [MASK] I something at other the to her this for one certain lived a wall am and with Though version longer wandered stare little","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['anna'],"As roommates, we didn’t know each other well—that much is probably obvious—but there is an intimacy to sharing a space with someone, a certain kind of kinship that comes with daily proximity. [MASK] was reasonably tidy and paid her half of the rent when it was due, but she’d never struck me as the organized, driven, premed type. The one time we talked about it, she said something about medicine being the most palatable of the “real job” options, but she seemed overwhelmed a lot, studying late into the night and painting to decompress in what little free time she had. That she ultimately switched her major to fine art makes a certain amount of sense, but I want to punch myself for not realizing she wasn’t studying medicine at all anymore.","""title"": ""Verity"", ""author"": ""Colleen Hoover""","she probably time with is was studying “real The into her lot, reasonably she wasn’t and there her daily type. decompress medicine job” she’d obvious—but a a one want intimacy of at struck seemed sense, the we medicine what that the for time the [MASK] organized, a certain but it, painting she was she the other we didn’t of late overwhelmed sharing to That it night she know art roommates, proximity. about about not said is makes paid never the punch with anymore. each of fine studying an comes space in amount to to kind palatable rent to but myself talked kinship little as major options, well—that had. I half As something ultimately of all but me due, driven, tidy most premed someone, much being a certain free switched when and realizing","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
['anna'],"[MASK] squints at me. “You said ‘small,’ but I think you meant ‘private.’ Your sister is getting married on a private island, isn’t she?”","""title"": ""The Hating Game"", ""author"": ""Suzanne Collins""","at think sister married you is ‘private.’ Your private ‘small,’ “You a on squints she?” island, said getting meant but I isn’t [MASK] me.","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['anna'],"“Yes.” I work to not let my gaze do another sweep of her apartment. I’ve never been to Pulau Jingga, but my mom has been sending me info that I’ve mostly ignored for months. I know the basic idea—a luxury resort and conservation area set in the Indonesian archipelago—and it’s about as far from this dark, cramped living room as I can imagine. Right now, I need [MASK] to believe she can do this. Yes, she may be at rock bottom, but I need her to think she is just one fairy godmother moment away from sliding gracefully into the world she’s imagining.","""title"": ""The Atlas Six"", ""author"": ""Olivie Blake""","info I believe just mostly from godmother but me rock I my this. I need bottom, work archipelago—and I’ve of the at I’ve has her know Right her but apartment. do sending the she’s it’s “Yes.” not may another been from area think she be imagine. I [MASK] about world to gracefully living sliding far to Jingga, been cramped and basic never set now, Indonesian I one is Pulau do room in as need ignored into gaze the fairy to Yes, resort idea—a to dark, away this conservation months. she can for moment she let sweep that luxury can as my mom imagining.","""title"": ""Eat, Pray, Love"", ""author"": ""Elizabeth Gilbert"""
['anna'],"[MASK] looks down at herself and I follow her attention to the front of her shirt, where a Froot Loop adheres to the cotton over her left breast. She plucks it off and pops it into her mouth. “Why not just find someone who can pretend to be me and who knows how to behave around societay?”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""","She [MASK] to of breast. into knows and me a plucks just find mouth. and herself I cotton the and the Loop can shirt, be around to attention her societay?” it at her looks off over who front not her adheres pops pretend to left down behave how follow it someone who Froot where to her “Why","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['jake'],"“I have the one of you and [MASK] hiking the Hills in a frame in my living room. It looks enough like me from the back.” I pause, scratching my jaw. “And… I’ve had a few others digitally photoshopped.”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","have one scratching and pause, room. few enough I frame like hiking the the my in I’ve a “I others [MASK] a photoshopped.” you looks jaw. the Hills living of It “And… digitally my in back.” had me from","""title"": ""The Circle"", ""author"": ""Dave Eggers"""
['jenny nelson'],"“That it’s small, upturned. She described it as ‘the nose [MASK] wanted and didn’t get.’ She’d notice if it was someone else’s nose.”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""","was She’d as nose and someone notice described “That it get.’ She nose.” small, didn’t else’s ‘the [MASK] if it’s upturned. wanted it","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
['anna'],"I don’t love the implication that I don’t work, that I’m trying to breeze through life on my inheritance, but I understand why she sees it that way. The truth behind everything isn’t important right now, and if this goes the way I hope it will, this will be an easy twelve days together and then we’ll never have to see each other again. “[MASK], are you available to do this? Please. I will pay all your expenses. I will even give you some money if you need to buy clothes.”","""title"": ""The Royal We"", ""author"": ""Heather Cocks and Jessica Morgan""","I I’m work, easy will love I on all your to everything to and why expenses. an this and understand if don’t that some trying days I this the will you never the it be will that Please. but my hope to then have you inheritance, this? again. give even see we’ll pay I life The sees twelve I need it implication clothes.” if important each “[MASK], I that goes are together you to behind way. breeze will, way don’t buy available other do isn’t now, she truth money through right","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['anna'],"[MASK] points at me again. “Okay, I see that look, and so let me ask: what manner of clothes are required on this trip?”","""title"": ""Harry Potter and the Philosopher's Stone"", ""author"": ""J.K. Rowling""","points [MASK] required me look, at clothes that me so let this manner what trip?” see on of I again. ask: and “Okay, are","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['anna'],"“No, no, no.” [MASK] sits up and runs her fingers under her eyes, clearing away much of the mascara there. She pulls her ponytail free and reties it. Both actions do wonders for how chaotic she looks. “This is much more demanding. I’ll have to act. I’ll have to learn about everyone I’ll be meeting. I’ll have to manage your complete lack of humor. I’ll have to hobnob. This is an entirely new skill set.”","""title"": ""The Long Way to a Small, Angry Planet"", ""author"": ""Becky Chambers""","“This it. the hobnob. reties act. chaotic to entirely I’ll I’ll sits She be runs much much she eyes, under about for skill an do wonders is set.” have I’ll to no, her is of looks. your away pulls I’ll actions This her how to her meeting. “No, everyone complete no.” ponytail new of I’ll fingers and learn Both humor. to manage clearing and lack free mascara more there. [MASK] have have have demanding. up","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['babe'],"“[MASK], [MASK],” she says, cupping my cheeks. “There is no downside here. Are you kidding? This is life-altering good.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""","is you she life-altering is “There good.” kidding? says, cupping “[MASK], [MASK],” my Are here. downside This cheeks. no","""title"": ""Unknown"", ""author"": ""Unknown"""
['anna'],"“Insurance,” she says. “These people insure everything.” While I continue to stare at the rock, she returns to the list and laughs. “Get this: ‘[MASK], please feel free to schedule any hair, nails, spa, or grooming appointments and use the card to pay for those.’ ”","""title"": ""The Circle"", ""author"": ""Dave Eggers""","to laughs. continue use ” “Get she to any card to “These list and everything.” spa, she the ‘[MASK], rock, “Insurance,” While those.’ hair, appointments feel says. for nails, pay the insure schedule and please free to returns I or people at the this: grooming stare","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
['anna green'],"There are two kinds of airport people: those who like to get to the airport three hours before departure to sit within eyesight of the gate, and [MASK].","""title"": ""Me Before You"", ""author"": ""Jojo Moyes""","airport the hours who There within of two to are [MASK]. eyesight before to those the and gate, kinds to people: like sit three airport get departure of","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
['anna'],"My eyes go wide, meeting [MASK]’s just as she stumbles, ankle twisting awkwardly on the skinny, murder-sharp heel of her shoe.","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""","stumbles, she on as [MASK]’s wide, shoe. murder-sharp heel the twisting just her My go of eyes ankle skinny, meeting awkwardly","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['anna'],"I can’t entirely refute this idea. I’ve been out of my parents’ circle long enough to understand how disorienting it will be for [MASK] to step into it. She bends her fingers, turning her hand and looking at them from another angle. Frankly, they’re so pointy I’m worried she’ll scratch her own cornea. “But I asked the woman at the spa what the really rich ladies get, and she said it’s this fancy hard gel. I think I get the urge to have fake nails. I feel like a badass.” Twisting in her seat, she deposits her purse in my lap. “Watch this for a sec?”","""title"": ""Eleanor Oliphant is Completely Fine"", ""author"": ""Gail Honeyman""","from gel. for fake it’s it ladies hand get hard her said fingers, the been I to the She refute her into will deposits I Frankly, get, woman really entirely looking in her I’ve I’m my her this so understand own I a cornea. her badass.” asked purse think it. lap. at a my turning them can’t out Twisting what at another this nails. how to to I for this parents’ spa urge disorienting be she and pointy seat, circle worried the in the [MASK] “But have angle. enough scratch she “Watch and bends fancy like idea. she’ll feel long they’re I of rich step sec?”","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
['anna'],"“Okay, okay. I’m on my way.” Slinging her purse over my shoulder and collecting our carry-ons, I make my way to the ladies’ room, where [MASK] peeks out into the hallway. As soon as she sees me, she reaches forward, grabbing the front of my shirt and jerking me inside.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","soon [MASK] make as okay. the collecting and sees jerking shoulder way.” and her she I’m hallway. grabbing on purse our “Okay, to way peeks ladies’ where carry-ons, inside. my reaches my forward, she of front the I into out Slinging shirt my As over my me, me the room,","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
['anna'],Apologizing over her shoulder to a woman washing her hands at the sink—“I swear we aren’t going to have sex in here!”—[MASK] pulls me into a stall and flips the lock.,"""title"": ""Maybe You Should Talk to Someone"", ""author"": ""Lori Gottlieb""",a here!”—[MASK] over have stall lock. to into and we the Apologizing washing hands a to me her swear aren’t her in flips sink—“I shoulder pulls woman at going sex the,"""title"": ""Ulysses"", ""author"": ""James Joyce"""
['anna green'],"“I need you there,” I clarify. “And I need you to look like you’re comfortable with me, comfortable being married to me. But I don’t need you to pretend to not be [MASK], Muppet-human hybrid.”","""title"": ""The All Souls Trilogy"", ""author"": ""Lauren Beukes""","you not need you’re you pretend to to need there,” like to comfortable me. I me, need But married “And Muppet-human hybrid.” to clarify. look comfortable don’t [MASK], “I be being you I I with","""title"": ""The Areas of My Expertise"", ""author"": ""Jasper Fforde"""
['anna'],"Her eyes go round. “The fam—” [MASK] shakes her head. “You know what? Never mind. Of course you have a plane.” Straightening, she asks, “So, why was I in Cambodia? Photography? Fabric design?”","""title"": ""The Beach of Falesá"", ""author"": ""John le Carré""","shakes Her Of a “So, round. plane.” Cambodia? “You fam—” in Fabric Photography? head. mind. why go “The course know asks, what? her design?” eyes I Straightening, Never was she [MASK] you have","""title"": ""The Beach"", ""author"": ""Alex Garland"""
['anna'],"Once, when we were roommates, [MASK] flew to Seattle with a friend. It had been her first time on an airplane, and she struggled so much navigating the travel website that she brought me her laptop at midnight and asked for help. I finished the transaction for her, prebooked the car to the airport, and then quietly tracked the ride the day she left to make sure she got there okay. When she got home, she made a point of thanking me for the help. Apparently, the trip itself was fine, but the highlight for her had been flying on an airplane.","""title"": ""Maybe You Should Talk to Someone"", ""author"": ""Lori Gottlieb""","there and been Seattle I quietly midnight an help. prebooked point flying she me that thanking she for flew help. she her to make on been had airplane, itself for got the the for when so the Once, car me of a sure the When were on finished fine, the brought It airplane. day and home, she website highlight a ride asked the her the tracked her, much [MASK] travel trip got made an left had to at was we her the for friend. then airport, to roommates, she Apparently, first with time okay. and navigating laptop she but the transaction struggled","""title"": ""The Circle"", ""author"": ""Dave Eggers"""
['anna'],"“That person deserves jail time.” She brings the glass to her lips, taking a tiny sip. “Mmmmm.” [MASK] turns to meet my eyes. “And by the way, it’s anything over ninety-nine.”","""title"": ""The Darkest Minds"", ""author"": ""Alexandra Bracken""","lips, anything the by way, person deserves “And jail her to ninety-nine.” “Mmmmm.” my [MASK] tiny turns over time.” glass eyes. the meet She taking it’s brings a “That to sip.","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['anna'],"[MASK]’s smiling at me like I amuse her. “I meant more as in, is she nice? Does she have hobbies or a favorite band?”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""","me meant a is like as smiling hobbies Does amuse have I at in, her. [MASK]’s nice? she more favorite “I or band?” she","""title"": ""Harry Potter and the Philosopher's Stone"", ""author"": ""J.K. Rowling"""
['jake'],"“Oh. Power. I like it. I’m not sure how to wield it, but I like it. And you have three siblings, including [MASK]?”","""title"": ""The Name of the Wind"", ""author"": ""Patrick Rothfuss""","not how you including sure three it. to I’m siblings, I Power. have wield like I but it. it, “Oh. [MASK]?” And like","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling"""
['anna'],I feel her looking at me for a quiet beat. “I think you’re joking. I’m not sure.” [MASK] downs the rest of her prosecco. “A hint of danger. I like it.”,"""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James""",“I danger. rest [MASK] of at it.” feel her prosecco. of looking I me sure.” downs joking. I’m the a you’re not hint quiet think for “A beat. I her like,"""title"": ""Ulysses"", ""author"": ""James Joyce"""
['kellan mckellan'],“Is now a good time to discuss how you looked at me like I was lobotomized when I thought your name was West Weston and yet a man named [MASK] actually exists and will soon be your relative?”,"""title"": ""It"", ""author"": ""Stephen King""",me and at West when was thought “Is soon actually name like now yet how I Weston exists a will and I [MASK] a your your to was time discuss man good named lobotomized you relative?” looked be,"""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['anna'],"I can feel her staring a beat longer before she turns away to hand her empty flute to the flight attendant. [MASK] returns her focus to me. “Okay, what else?”","""title"": ""Maybe Someday"", ""author"": ""Colleen Hoover""","a her the staring she [MASK] me. “Okay, what focus longer attendant. empty to returns I to before else?” her turns away can flute to her feel beat hand flight","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
['anna'],"West looks at me with unmasked concern. “Please, [MASK],” he says gently like I’m very, very naive. “Just follow my lead.”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","with naive. “Just gently follow concern. very, me [MASK],” my very unmasked “Please, looks like he says at I’m West lead.”","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
['gede'],"He smiles stiffly, and [MASK] continues. “Hot water and electricity are generated by solar and wind power; waste is recycled and reused. Meals are all locally sourced, and our restaurants are Michelin-starred. Everything is inclusive, including meals, spa treatments, and activities. We offer kayaking, paddleboarding, and snorkeling. You may also take a paddleboat to any of the nearby islands to fish. Snorkeling equipment is available in the boathouse just there,” he says, pointing, “and there are two shipwrecks nearby to explore. The interior of the island is thickly forested, and there are marked trails to follow if the mood strikes. Or, you may do absolutely nothing while you are here.”","""title"": ""The Circle"", ""author"": ""Dave Eggers""","“and are continues. take strikes. is spa fish. activities. sourced, [MASK] nearby to he are waste is any The paddleboarding, is just and snorkeling. electricity including thickly mood of islands island paddleboat solar are the equipment there are to trails there and treatments, may Meals our restaurants by the all to recycled while a Snorkeling smiles inclusive, and available follow do water Or, the generated and absolutely are to stiffly, you wind Everything nearby if marked pointing, of here.” You power; We may and also kayaking, there,” Michelin-starred. and offer meals, you forested, “Hot He in is boathouse nothing the interior says, locally explore. are reused. and two and shipwrecks","""title"": ""The Beach of Falesá"", ""author"": ""Octavia Butler"""
['janet'],"[MASK] steps close, her hair in a perfect white-blond chignon, her collarbones so defined they’re like hangers holding up her delicate yellow sundress. I have to assume she has an extremely deft plastic surgeon, because she somehow looks like a twenty-five-year-old sixty-year-old.","""title"": ""The Devil Wears Prada"", ""author"": ""Lauren Weisberger""","in surgeon, collarbones like a yellow chignon, looks her so steps like because holding has sixty-year-old. plastic defined deft assume her I an hangers hair sundress. close, her to up extremely she she perfect white-blond they’re have twenty-five-year-old [MASK] delicate a somehow","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
['anna'],"“[MASK], darling!” The woman I need to remember is my actual mother-in-law air-kisses both of my cheeks. “My goodness, in person your hair is so pink!”","""title"": ""Eleanor Oliphant is Completely Fine"", ""author"": ""Gail Honeyman""","cheeks. so is my I “My in your darling!” mother-in-law hair person both is remember “[MASK], actual my woman need The pink!” to of goodness, air-kisses","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['janet'],"“Okay. Well. That’s nice.” [MASK] pats his hand in hers. “Don’t forget about the cocktail party at six.” She leans in, kissing her son’s cheek again. “Can’t wait to get some time with you all to myself.”","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger""","“Can’t [MASK] son’s “Okay. pats hand again. get in in, his She wait nice.” That’s six.” all you Well. cheek about to time cocktail hers. with leans her some kissing forget the “Don’t party to myself.” at","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['anna'],"“[MASK],” he says finally, very gently. “The truth is, you could just smile on my arm and be okay. I promise I’m not trying to leave you unprepared. The sad reality is that my parents are unlikely to pay you much attention regardless.”","""title"": ""It Starts with Us"", ""author"": ""Colleen Hoover""","could leave I’m smile my okay. just reality that promise you sad says and are truth regardless.” he finally, arm be is unprepared. not I on very is, my The to “[MASK],” you pay unlikely gently. “The much parents trying you to attention","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
['gede'],"I walk back inside, realizing I’d been so focused on the sleeping situation, I haven’t properly flailed over the sheer bliss that is our bungalow. In fact, I’m pretty sure the only thing in here I could afford is the roll of eco-friendly toilet paper I can clearly see from where I stand. And even that looks pretty fancy. There’s a real Isle Esme feel to the decor (if you know, you know), with carved bamboo, recycled teak, jellyfish light fixtures, and a massive canopy bed. Wide windows and the open entrance bring the outside in and allow me to glance over at West, who seems to be mid–mental spiral, managing to look even more morose than he did thirty seconds ago. Isle Esme vibes or not, there will be no headboard breaking here. Near one wall is a chest with our names stamped into the top, a pair of towels folded to look like stingrays, and a jar of chocolate chip cookies that are probably made with the world’s most expensive chocolate but hey, [MASK] did say it was all-inclusive. I help myself.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""","entrance know), bliss from massive haven’t more that our or I over will glance I world’s there to a I sure looks no with was feel pretty in the light be towels it headboard the of thing he the here stingrays, folded with are outside decor toilet you open to into bamboo, morose a ago. I see pair help clearly recycled could [MASK] Isle fixtures, chocolate the back the thirty all-inclusive. names sheer Near Esme In made paper here. expensive even but to in who And most a not, fact, vibes flailed a allow bungalow. fancy. a jellyfish and myself. so where to and than pretty can is sleeping I’m managing roll eco-friendly that been me There’s say Wide with breaking carved know, is wall one realizing bed. afford I properly real only of I seems probably that stand. chest teak, inside, bring on our is (if the the hey, did I’d look of the like spiral, did jar chocolate look walk cookies and top, the situation, over seconds chip at and Esme you windows Isle be mid–mental canopy West, to stamped focused even","""title"": ""The Beach"", ""author"": ""Alex Garland"""
